投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,位置
50.60%,27.40%,65.50%,3,3.2,1.2,0.2,2.1,2.6,g
49.30%,34.30%,84.00%,3.3,3,0.7,0.3,1.9,1.7,g
44.40%,18.20%,77.20%,3.6,4.8,1.1,0.3,1.2,3.7,g
48.20%,13.90%,89.20%,2.1,4.4,1.2,0.1,0.8,3.2,g
50.10%,0.00%,83.30%,3.2,3.3,1.2,0.3,1.2,3,g
49.30%,30.50%,84.10%,3.3,9.1,1.5,0.2,3.1,2.1,g
43.90%,38.40%,87.00%,3.3,1.9,0.9,0.1,1.7,1.9,g
42.60%,0,88.30%,3.9,3,0,0,0,2.7,g
43.20%,31.00%,78.80%,4.4,8.7,1.7,0.6,3.7,2.4,g
43.10%,35.50%,78.20%,3.3,8.2,1.6,0.1,2.9,2.3,g
45.60%,0,80.30%,4.9,2.5,0,0,0,2,g
48.80%,20.00%,82.40%,4.3,2.6,1.3,0.9,1.6,2.8,g
44.40%,42.00%,84.50%,3.2,2.4,0.9,0.6,1.8,2.4,g
44.10%,26.80%,82.00%,3.8,2.5,0.9,0.3,1.8,2.3,g
44.40%,40.20%,86.30%,2.9,2.4,0.7,0.2,2.1,2.5,g
41.60%,0,78.00%,5,5,0,0,0,3.3,g
44.40%,16.70%,83.40%,4,4.9,0.8,0.1,0.6,2.5,g
44.40%,40.00%,80.60%,3.6,3,1.2,0.4,0.3,2,g
44.10%,36.90%,80.00%,4.1,4.2,0.9,0.2,2,1.8,g
43.80%,37.00%,70.70%,5,2.7,1.2,0.4,1.8,2.3,g
46.10%,23.80%,75.60%,2.7,5.6,2,0.4,2,2,g
44.90%,34.60%,85.20%,3.1,3.4,0.8,0.1,2.1,2.5,g
44.70%,35.90%,82.10%,3.2,8.4,1.1,0.3,2.9,2.6,g
40.90%,30.90%,82.20%,3.2,3.3,0.9,0.5,2.7,1.9,g
49.50%,32.30%,75.30%,2.9,5.9,0.9,0.1,2.5,1.7,g
44.60%,28.20%,75.50%,4.9,5.2,1.3,0.4,2.7,2.4,g
43.50%,38.00%,81.10%,2.5,3.3,1.1,0.3,2.3,2,g
44.30%,35.20%,81.20%,3.8,2.7,0.7,0.2,2.5,2.4,g
46.10%,0,82.90%,2.7,3.5,0.4,0.1,0,2.5,g
47.00%,15.50%,78.10%,3.7,4.6,1.4,0.1,1.2,2.6,g
39.10%,35.10%,80.20%,3.2,6.2,1.4,0.2,2.4,2,g
43.20%,0,77.40%,4.7,6.7,0.2,0,0,3.1,g
39.90%,32.40%,81.30%,3.7,5.3,1.4,0.4,2.1,1.6,g
46.40%,0,79.00%,4.1,3.3,0.3,0,0,2.8,g
46.60%,31.70%,72.90%,3.9,6.7,1.8,0.2,2.3,2.4,g
48.00%,0,76.90%,3.3,4.8,0.3,0,0,2.5,g
47.50%,36.30%,84.20%,2.6,4.1,1.2,0.3,1.6,2.8,g
46.30%,33.20%,70.70%,3.3,2.1,1.2,0.3,2.1,2.2,g
46.30%,0,81.40%,4.3,3.8,0.2,0,0,2.7,g
46.00%,38.20%,84.30%,2.2,4.5,0.9,0.1,2,1.8,g
40.90%,32.00%,71.10%,3.8,7.2,1.8,0.4,2.8,2.8,g
43.30%,37.80%,83.50%,3.9,2.7,1.2,0.4,2,2.3,g
43.90%,36.00%,86.20%,2.5,4.8,1,0.1,2.2,2.2,g
50.00%,34.20%,79.70%,2.2,4.2,0.8,0.2,3,2.9,g
36.60%,0,77.00%,2,4.4,0,0,0,1.8,g
42.10%,39.90%,78.30%,3.9,3,1,0.3,1.9,2.1,g
43.40%,0,73.20%,3,3.1,0,0,0,2.8,g
45.60%,0,76.10%,2.9,2.8,0,0,0,2.6,g
45.40%,33.10%,86.10%,3.2,6,1.1,0.2,2.4,2.8,g
50.60%,27.40%,83.00%,4.5,2.1,0.9,0.1,1.9,1.8,g
47.90%,40.30%,78.40%,3.5,1.4,0.8,0.2,1.5,2.1,g
48.30%,29.40%,77.20%,2.6,8.3,1.5,0.1,3.1,2.6,g
44.40%,37.50%,81.10%,4.4,2.9,0.9,0.3,1.5,1.6,g
50.40%,27.50%,82.00%,1.9,4.4,1.2,0.3,1.4,2.1,g
41.80%,36.40%,79.90%,3.5,4.5,1,0.2,2.7,2,g
42.30%,32.20%,79.90%,4.3,4.1,1.6,0.4,2.9,2.6,g
41.00%,34.90%,86.00%,2.4,3.6,1,0.2,2,1.6,g
